Station;Auto (gratis parking);Auto (betalende parking);Auto (totale parking);Auto (bezetting parking) ;Fiets (gratis parking);Fiets (betalende parking);Fiets (totale parking);Fiets (bezetting parking);BTM (frequentie);BTM (route);Trein (frequentie dinsd.);Trein (frequentie zat.) ;Trein (frequentie off-peak);Trein (amplitude);Reistijdcentraliteit;Overstapcentraliteit;Dichtheid (inwoners);Dichtheid (jobs);Dichtheid (basisvoorz.);Dichtheid (regionale voorz.);Dichtheid (metropolitane voorz.);Diversiteit (funct.);Diversiteit (ruimt.);Design (interface);Design (permeabiliteit);Design (fietswandel infrastr.)
Diepenbeek;183;0;183;148;64;0;64;59;77;3;73;34;4;0,5;4,9;5,8;3565;3009;171;107;70;6,4;75,1;349;298;3342
Diesdelle;62;28;90;NA;0;0;0;NA;588;5;159;66;10;0,5;8,9;5,4;9285;3594;236;247;206;9,7;NA;508;452;3004
Diest;1048;0;1048;998;532;0;532;348;372;16;125;69;6;0,6;6,6;5,4;3260;2524;153;138;109;4,2;76,9;307;297;3567
Diksmuide;108;0;108;158;86;0;86;99;234;9;40;30;2;0,5;3,6;4,2;4831;1605;155;137;105;6,4;75,6;546;403;4322
Dilbeek;76;0;76;97;112;0;112;52;274;4;68;36;4;0,5;7,9;6,1;4060;608;148;132;116;5,9;72,8;432;333;4091
Drongen;176;0;176;104;182;0;182;96;52;1;51;36;2;0,6;8,8;6,3;4355;993;166;155;148;5,9;67,9;375;315;3705
Duffel;385;0;385;308;416;0;416;87;156;6;68;64;4;0,7;8,5;6,3;4522;4091;171;134;112;5,9;81,0;457;467;4395
Duinbergen;0;11;11;3;28;0;28;29;70;2;40;33;2;0,5;3,9;4,4;4014;494;147;114;112;4,2;72,4;625;503;5027
Ede;170;0;170;174;157;0;157;93;32;3;48;0;2;0,6;7,9;5,1;2895;91;153;112;125;3,4;50,9;199;166;2625
Eeklo;174;26;200;115;354;0;354;280;287;11;20;15;1;0,5;4,4;1,4;9118;4199;200;182;81;7,9;82,4;791;576;6123
Eichem;8;0;8;6;42;0;42;22;0;0;51;31;2;0,6;6,8;4,7;674;131;31;46;23;1,1;48,0;56;45;754
Eine;117;0;117;95;144;0;144;62;50;3;45;30;2;0,5;6,1;2,0;4063;1410;149;131;134;5,1;71,9;269;215;3312
Eke-Nazareth;83;0;83;64;252;0;252;135;71;4;45;30;2;0,5;8,0;2,0;3430;233;136;91;51;3,8;60,6;324;228;3043
Ekeren;180;0;180;182;234;0;234;234;53;1;102;37;6;0,6;6,5;5,6;9544;1431;204;170;139;6,8;73,9;447;358;4757
Eppegem;276;0;276;221;212;0;212;169,6;140;3;160;92;10;0,7;9,4;6,3;2040;295;74;68;52;3,2;71,3;143;105;1973
Erembodegem;182;0;182;213;222;0;222;117;138;2;107;71;6;0,6;8,7;5,6;4508;1640;186;174;141;5,8;71,1;295;244;3744
Erpe-Mere;49;0;49;11;56;0;56;18;3;1;14;0;0;0,3;6,3;0,0;2306;1393;145;93;57;6,5;80,3;306;254;2434
Erps-Kwerps;90;0;90;72;58;0;58;46,4;0;0;64;35;4;0,6;9,4;7,1;854;117;66;63;7;1,5;56,2;96;87;1219
Essen;162;0;162;165;290;0;290;265;76;9;51;17;5;0,7;4,2;5,6;5303;812;162;110;47;6,3;73,5;533;421;3880
Essene Lombeek;80;0;80;92;56;0;56;46;4;1;68;36;4;0,6;8,9;6,1;1617;201;102;88;61;2,0;51,3;116;94;1907
Etterbeek;6;0;6;NA;24;0;24;NA;1143;9;262;100;16;0,6;9,4;7,2;38222;35732;253;236;193;9,7;NA;887;626;3059
