stop_id;station;typeNP;typePP;N_CA_Park_f;N_CA_Park_p;N_CA_Park_Tot;N_CA_Park_occ;N_AT_Park_occ;N_AT_Park_f;N_AT_Park_p;N_AT_Park_Tot;N_BTM_freq;N_BTM_rout;N_TR_freq_tue;N_TR_freq_sat;N_TR_freq_off;N_TR_amp;N_TR_ttcentr;N_TR_trcentr;P_DE_res;P_DE_job;P_DE_bas;P_DE_reg;P_DE_met;P_DI_shan;P_DI_IJI;P_DG_IC;P_DG_perm;P_DG_netw;PP_MOT_sec;PP_MOT_tert;PP_MOT_work;PP_MOT_other;PP_RID_orig;PP_RID_rid;PP_RID_dest;PP_EFF_walk;PP_EFF_bike;PP_EFF_far
8895471;Erpe-Mere;4;5;49;0;49;11;18;56;0;56;3;1;14;0;0;0,27781684;6,322289628;0;2306;1392,75673;144,771599;92,52412118;57,15914787;6,495535714;80,2953;306;254;2434;0;0;0,035920799;0,022682468;0,941396734;0,007031544;0,058603266;0,382716049;0,537037037;0,080246914
8811262;Erps-Kwerps;1;2;90;0;90;72;46,4;58;0;58;0;0;64;35;4;0,64;9,401914729;7,127659572;854;116,6811002;65,53311169;63,26738793;7,122564016;1,537267081;56,1632;96;87;1219;0;0;0,018284217;0,048820022;0,932895761;0,038918777;0,067104239;0,243902439;0,487804878;0,268292683
8821402;Essen;2;1;162;0;162;165;265;290;0;290;76;9;51;17;5;0,689822531;4,18517047;5,617021278;5303;812,1804065;161,5363669;110,1341367;47,12616004;6,285908385;73,479;533;421;3880;0,061616129;0;0,037079398;0,099425497;0,801878976;0,192631596;0,198121024;0,175566343;0,403721683;0,420711974
8812260;Essene Lombeek;1;2;80;0;80;92;46;56;0;56;4;1;68;36;4;0,568767361;8,857277941;6,095744679;1617;201,4749494;102,1571077;87,798419;61,29271412;1,998253106;51,2895;116;94;1907;0;0;0,029933258;0,025798523;0,944268219;0,046931467;0,055731781;0,333333333;0,532051282;0,134615385
8811411;Etterbeek;3;4;6;0;6;;;24;0;24;1143;9;262;100;16;0,55937934;9,390754862;7,244680851;38222;35732,42491;253,2794957;235,6500975;192,7144844;9,654503106;;887;626;3059;;;;;0,367064263;1,088254051;0,632935737;;;
8811106;Evere;3;6;10;0;10;;;0;0;0;1029;4;148;28;10;0,553164063;9,292191629;6,074468088;38878;15546,51986;284,2655385;254,6067791;213,345063;8,267663043;;1265;1012;5154;;;;;0,453271207;0,087649011;0,546728793;;;
8893252;Evergem;4;4;59;0;59;34;90;42;0;42;316;10;38;29;2;0,501736111;6,932913106;1,393617022;2962;1571,771611;170,7724679;129,8361682;120,0228948;5,828804348;76,8338;371;309;2781;0,312085793;0,073638221;0,041309094;0,022924988;0,550041905;0,039572875;0,449958095;0,168949772;0,470319635;0,360730594
8833449;Ezemaal;1;2;68;0;68;54,4;25,6;32;0;32;56;2;43;33;2;0,657901235;7,499038845;6,595744684;254;14,85517826;17,67158335;14,27708882;1,671111284;0;50,8172;42;31;495;0;0;0,014986763;0,023938413;0,961074824;0,032214282;0,038925176;0,181318681;0,653846154;0,164835165
8895620;Galmaarden;1;2;108;0;108;88;55;104;0;104;40;2;49;28;2;0,553164063;6,858190336;4,840425533;1462;154,0919907;81,8788432;40,91843997;3,818048703;2,297166149;59,2999;103;83;1190;0;0;0,006187557;0,017470037;0,976342406;0,046604418;0,023657594;0,245409015;0,464106845;0,29048414
8892643;Gavere-Asper;4;2;74;0;74;51;104;105;0;105;34;2;45;30;2;0,529660494;7,293710525;1,978723404;3016;673,1495832;127,4898534;73,86205193;9,720357588;4,811723602;70,1633;293;235;2349;0,045395298;0;0,123134307;0,030757183;0,800713211;0,07113306;0,199286789;0,308600337;0,408094435;0,283305228
